56,-5,13,71,5,6,4
59,-17,29,72,5,6,4
-30,-27,12,73,5,6,4
-41,-75,26,74,11,10,6
6,67,-4,75,8,7,5
8,48,-15,76,7,7,5
-13,-40,1,77,11,10,6
-18,63,-9,78,8,7,5
-46,-61,21,79,6,7,5
43,-72,28,80,6,7,5
-44,12,-34,81,9,7,9
46,16,-30,82,9,7,9
-68,-23,-16,83,9,7,5
-58,-26,-15,84,9,7,5
27,16,-17,85,7,9,8
-44,-65,35,86,6,7,5
-39,-75,44,87,6,7,5
-7,-55,27,88,6,7,5
6,-59,35,89,6,7,5
-11,-56,16,90,6,7,5
-3,-49,13,91,6,7,5
8,-48,31,92,6,7,5
15,-63,26,93,6,7,5
-2,-37,44,94,6,7,5
11,-54,17,95,6,7,5
52,-59,36,96,6,7,5
23,33,48,97,7,7,5
-10,39,52,98,7,7,5
-16,29,53,99,7,7,5
-35,20,51,100,7,7,5
22,39,39,101,7,7,5
13,55,38,102,7,7,5
-10,55,39,103,7,7,5
-20,45,39,104,7,7,5
6,54,16,105,7,7,5
6,64,22,106,8,7,5
-7,51,-1,107,7,7,5
9,54,3,108,7,7,5
-3,44,-9,109,7,7,5
8,42,-5,110,7,7,5
-11,45,8,111,7,7,5
-2,38,36,112,7,7,8
-3,42,16,113,7,7,8
-20,64,19,114,8,7,5
-8,48,23,115,7,7,5
65,-12,-19,116,9,7,5
-56,-13,-10,117,9,7,9
-58,-30,-4,118,9,7,9
65,-31,-9,119,9,7,5
-68,-41,-5,120,10,7,5
13,30,59,121,7,7,5
12,36,20,122,7,7,8
52,-2,-16,123,9,7,9
-26,-40,-8,124,11,10,6
27,-37,-13,125,11,10,5
-34,-38,-16,126,11,10,6
28,-77,-32,127,11,10,6
52,7,-30,128,9,7,9
-53,3,-27,129,9,7,9
47,-50,29,130,6,7,5
-49,-42,1,131,9,6,9
-31,19,-19,132,7,9,8
-2,-35,31,133,6,7,5
-7,-71,42,134,6,7,5
11,-66,42,135,6,7,5
4,-48,51,136,4,11,11
-46,31,-13,137,7,9,8
-10,11,67,138,12,9,8
49,35,-12,139,7,9,8
8,-91,-7,140,11,10,6
17,-91,-14,141,11,10,6
-12,-95,-13,142,11,10,6
18,-47,-10,143,11,10,6
40,-72,14,144,11,10,6
8,-72,11,145,11,10,6
-8,-81,7,146,11,10,6
-28,-79,19,147,11,10,6
20,-66,2,148,11,10,6
-24,-91,19,149,11,10,6
27,-59,-9,150,11,10,6
-15,-72,-8,151,11,10,6
-18,-68,5,152,11,10,6
43,-78,-12,153,11,10,6
-47,-76,-10,154,11,10,6
-14,-91,31,155,11,10,6
15,-87,37,156,11,10,6
29,-77,25,157,11,10,6
20,-86,-2,158,11,10,6
15,-77,31,159,11,10,6
-16,-52,-1,160,11,10,6
42,-66,-8,161,11,10,6
24,-87,24,162,11,10,6
6,-72,24,163,6,7,5
-42,-74,0,164,11,10,6
26,-79,-16,165,11,10,6
-16,-77,34,166,11,10,6
-3,-81,21,167,11,10,6
-40,-88,-6,168,11,10,6
37,-84,13,169,11,10,6
6,-81,6,170,11,10,6
-26,-90,3,171,11,10,6
-33,-79,-13,172,11,10,6
37,-81,1,173,11,10,6
-44,2,46,174,7,9,8
48,25,27,175,7,9,8
-47,11,23,176,7,9,8
-53,-49,43,177,6,7,5
-23,11,64,178,7,7,5
58,-53,-14,179,6,7,5
24,45,-15,180,7,9,8
34,54,-13,181,8,9,8
-21,41,-20,182,13,8,7
-18,-76,-24,183,11,10,6
17,-80,-34,184,11,10,6
35,-67,-34,185,11,10,6
47,10,33,186,7,9,8
-41,6,33,187,7,9,8
-42,38,21,188,7,9,8
38,43,15,189,7,9,8
49,-42,45,190,6,7,5
-28,-58,48,191,11,11,11
44,-53,47,192,6,7,5
32,14,56,193,7,7,5
37,-65,40,194,6,7,5
-42,-55,45,195,6,7,5
40,18,40,196,7,7,5
-34,55,4,197,7,7,8
-42,45,-2,198,7,9,8
33,-53,44,199,6,7,5
43,49,-2,200,7,9,8
-42,25,30,201,7,7,8
-3,26,44,202,7,9,8
11,-39,50,203,4,6,11
55,-45,37,204,6,7,5
42,0,47,205,7,9,8
31,33,26,206,7,9,8
48,22,10,207,7,9,8
-35,20,0,208,7,9,8
36,22,3,209,7,9,8
37,32,-2,210,7,9,8
34,16,-8,211,7,9,8
-11,26,25,212,7,9,8
-1,15,44,213,5,9,8
-28,52,21,214,7,7,8
0,30,27,215,7,9,8
5,23,37,216,7,9,8
10,22,27,217,7,9,8
31,56,14,218,7,9,8
26,50,27,219,7,7,8
-39,51,17,220,7,9,8
2,-24,30,221,6,7,5
6,-24,0,222,5,9,4
-2,-13,12,223,5,9,8
-10,-18,7,224,5,9,4
12,-17,8,225,5,9,4
-5,-28,-4,226,5,9,4
-22,7,-5,227,5,9,8
-15,4,8,228,5,9,8
31,-14,2,229,5,6,4
23,10,1,230,5,9,8
29,1,4,231,5,9,8
-31,-11,0,232,5,6,4
15,5,7,233,5,9,8
9,-4,6,234,5,9,8
54,-43,22,235,5,6,4
-56,-50,10,236,9,6,9
-55,-40,14,237,5,6,4
52,-33,8,238,5,6,4
51,-29,-4,239,9,7,9
56,-46,11,240,9,6,9
53,33,1,241,7,9,8
-49,25,-1,242,7,9,8
-16,-65,-20,243,11,10,6
-32,-55,-25,244,11,10,6
22,-58,-23,245,11,10,6
1,-62,-18,246,11,10,6
33,-12,-34,247,11,10,9
-31,-10,-36,248,11,10,9
49,-3,-38,249,11,10,10
-50,-7,-39,250,14,10,10
10,-62,61,251,4,11,11
-52,-63,5,252,11,10,6
-47,-51,-21,253,11,10,6
46,-47,-17,254,6,10,6
47,-30,49,255,4,11,11
22,-65,48,256,11,11,11
46,-59,4,257,11,11,6
25,-58,60,258,11,11,11
-33,-46,47,259,11,11,11
-27,-71,37,260,11,10,6
-32,-1,54,261,4,9,11
-42,-60,-9,262,11,10,6
-17,-59,64,263,4,11,11
29,-5,54,264,4,11,11
